Продукт,углеводы(г/100г),белки(г/100г),жиры(г/100г),ккал(100г)
Таро клубни в сыром виде,26.46 г,1.50 г,0.20 г,106 кКал
Таро приготовленные клубни,34.60 г,0.52 г,0.11 г,138 кКал
Помидоры зелёные в сыром виде,5.10 г,1.20 г,0.20 г,20 кКал
Помидоры свежие,3.89 г,0.88 г,0.20 г,16 кКал
Помидоры приготовленные,4.01 г,0.95 г,0.11 г,16 кКал
Батат в сыром виде,20.12 г,1.57 г,0.05 г,80 кКал
Батат печёный,20.71 г,2.01 г,0.15 г,83 кКал
Репа сырая,6.43 г,0.90 г,0.10 г,26 кКал
Репа приготовленная,5.06 г,0.71 г,0.08 г,20 кКал
Томатная паста консервированная,18.91 г,4.32 г,0.47 г,76 кКал
Жеруха в сыром виде,1.29 г,2.30 г,0.10 г,5 кКал
Ботва репы свежая,7.13 г,1.50 г,0.30 г,29 кКал
Ямс сырой,27.88 г,1.53 г,0.17 г,112 кКал
Ямс приготовленный,27.48 г,1.49 г,0.14 г,110 кКал
Щавель свежий,3.20 г,2.00 г,0.70 г,13 кКал
Фасоль пёстрая (Пинто) пророщенная в свежем виде,11.60 г,5.25 г,0.90 г,46 кКал
Сок морковный консервированный,9.28 г,0.95 г,0.15 г,37 кКал
Спирулина в сыром виде,2.42 г,5.92 г,0.39 г,10 кКал
Картофель сырой,17.49 г,2.05 г,0.09 г,70 кКал
Побеги лаконоса в сыром виде,3.70 г,2.60 г,0.40 г,15 кКал
Картофель красный в сыром виде,15.90 г,1.89 г,0.14 г,64 кКал
Картофель запечённый,21.55 г,1.96 г,0.10 г,86 кКал
Картофель варёный в мундире,20.13 г,1.87 г,0.10 г,81 кКал
Перец болгарский замороженный (зелёный),4.45 г,1.08 г,0.21 г,18 кКал
Картофель варёный,20.01 г,1.71 г,0.10 г,80 кКал
Картофель жареный,35.11 г,3.00 г,12.52 г,140 кКал
Картофельные хлопья в сухом виде (пюре быстрого приготовления),81.17 г,8.34 г,0.41 г,325 кКал
Листья тыквы свежие,2.33 г,3.15 г,0.40 г,9 кКал
Тыква в сыром виде,6.50 г,1.00 г,0.10 г,26 кКал
Тыква варёная или запечённая,4.90 г,0.72 г,0.07 г,20 кКал
Портулак свежий,3.39 г,2.03 г,0.36 г,14 кКал
Редиска свежая,3.40 г,0.68 г,0.10 г,14 кКал
Дайкон свежий,4.10 г,0.60 г,0.10 г,16 кКал
Картофель фри,25.55 г,2.75 г,5.48 г,102 кКал
Картофель замороженный,17.47 г,2.38 г,0.16 г,70 кКал
Крахмал картофельный,83.10 г,6.90 г,0.34 г,332 кКал
Зелёные соевые бобы отваренные,11.05 г,12.35 г,6.40 г,44 кКал
Соевые бобы пророщенные в свежем виде,9.57 г,13.09 г,6.70 г,38 кКал
Зелёные соевые бобы свежие,11.05 г,12.95 г,6.80 г,44 кКал
Шпинат свежий,3.63 г,2.86 г,0.39 г,15 кКал
Шпинат варёный,3.75 г,2.97 г,0.26 г,15 кКал
Шпинат консервированный,3.40 г,2.81 г,0.50 г,14 кКал
Шпинат замороженный,4.21 г,3.63 г,0.57 г,17 кКал
Брюква в сыром виде,8.62 г,1.08 г,0.16 г,34 кКал
Козлобородник (корень козлобородника) в сыром виде,18.60 г,3.30 г,0.20 г,74 кКал
Капуста квашеная,4.28 г,0.91 г,0.14 г,17 кКал
Ирландский мох в сыром виде,12.29 г,1.51 г,0.16 г,49 кКал
Морская капуста в сыром виде,9.57 г,1.68 г,0.56 г,38 кКал
Водоросли нори в сыром виде,5.11 г,5.81 г,0.28 г,20 кКал
Тыква Баттернат в сыром виде,11.69 г,1.00 г,0.10 г,47 кКал
Тыква Хаббард в сыром виде,8.70 г,2.00 г,0.50 г,35 кКал
Тыква Спагетти в сыром виде,6.91 г,0.64 г,0.57 г,28 кКал
Тыква Крукнек (кривошейка) в сыром виде,3.88 г,1.01 г,0.27 г,16 кКал
Патиссон в сыром виде,3.84 г,1.20 г,0.20 г,15 кКал
Патиссон приготовленный,3.30 г,1.03 г,0.17 г,13 кКал
Кабачок в сыром виде,3.11 г,1.21 г,0.32 г,12 кКал
Кабачок жареный или запечённый (без масла),2.69 г,1.14 г,0.36 г,11 кКал
Кабачок замороженный,3.58 г,1.16 г,0.13 г,14 кКал
Кабачковая икра кабачок консервированный,6.85 г,1.03 г,0.11 г,27 кКал
Тыква Акорн в сыром виде,10.42 г,0.80 г,0.10 г,42 кКал
Сок томатный консервированный. без соли,3.53 г,0.85 г,0.29 г,14 кКал
Перец болгарский красный замороженный,4.45 г,1.08 г,0.21 г,18 кКал
Перец болгарский жёлтый свежий,6.32 г,1.00 г,0.21 г,25 кКал
Радиккьо свежий,4.48 г,1.43 г,0.25 г,18 кКал
Кабачки молодые в сыром виде,3.11 г,2.71 г,0.40 г,12 кКал
Грибы эноки сырые,7.81 г,2.66 г,0.29 г,31 кКал
Физалис овощной свежий,5.84 г,0.96 г,1.02 г,23 кКал
Фенхель в сыром виде (плод или корень),7.30 г,1.24 г,0.20 г,29 кКал
Руккола свежая,3.65 г,2.58 г,0.66 г,15 кКал
Сердцевина пальмы консервированная,4.62 г,2.52 г,0.62 г,18 кКал
Перец чили острый высушенный на солнце,69.86 г,10.58 г,5.81 г,279 кКал
Опунция (листья) в сыром виде,3.33 г,1.32 г,0.09 г,13 кКал
Картофельное пюре с молоком и маслом. приготовленное,16.81 г,1.86 г,4.22 г,67 кКал
Кетчуп,27.40 г,1.04 г,0.10 г,110 кКал
Огурцы солёные (маринованные),2.26 г,0.33 г,0.20 г,9 кКал
Кипрей (листья кипрея) свежий,19.22 г,4.71 г,2.75 г,77 кКал
Грибы вешенки сырые,6.09 г,3.31 г,0.41 г,24 кКал
Грибы соломенные консервированные,4.64 г,3.83 г,0.68 г,19 кКал
Грибы майтаке сырые,6.97 г,1.94 г,0.19 г,28 кКал
Васаби корень в сыром виде,23.54 г,4.80 г,0.63 г,94 кКал
Брокколи китайская свежая,4.67 г,1.20 г,0.76 г,19 кКал
Папоротник (побеги) в сыром виде,5.54 г,4.55 г,0.40 г,22 кКал
Брокколи китайская приготовленная,3.81 г,1.14 г,0.72 г,15 кКал
Лемонграсс свежий,25.31 г,1.82 г,0.49 г,101 кКал
Виноградные листья свежие,17.31 г,5.60 г,2.12 г,69 кКал
Помидоры оранжевые свежие,3.18 г,1.16 г,0.19 г,13 кКал
Помидоры жёлтые свежие,2.98 г,0.98 г,0.26 г,12 кКал
Спирулина сушёная (в виде порошка),23.90 г,57.47 г,7.72 г,96 кКал
Водоросли вакаме в сыром виде,9.14 г,3.03 г,0.64 г,37 кКал
Перец чили зелёный острый свежий,9.46 г,2.00 г,0.20 г,38 кКал
Картофель запечённый в кожуре,21.15 г,2.50 г,0.13 г,85 кКал
Лук-шалот свежий,16.80 г,2.50 г,0.10 г,67 кКал
Морковь сушёная,79.57 г,8.10 г,1.49 г,318 кКал
Перец чили красный острый свежий,8.81 г,1.87 г,0.44 г,35 кКал
Перец болгарский красный свежий,6.03 г,0.99 г,0.30 г,24 кКал
Зелёный горошек консервированный,12.58 г,4.42 г,0.35 г,50 кКал
Семена гулявника,58.26 г,12.14 г,4.60 г,233 кКал
Мука кунжутная,26.62 г,30.78 г,37.10 г,106 кКал
Семя льняное,28.88 г,18.29 г,42.16 г,116 кКал
Кунжут необжаренный,11.73 г,20.45 г,61.21 г,47 кКал
Семена лотоса,17.28 г,4.13 г,0.53 г,69 кКал
Кунжут обжаренный,26.04 г,16.96 г,48.00 г,104 кКал
Семена чиа,42.12 г,16.54 г,30.74 г,168 кКал
Семя конопляное,8.67 г,31.56 г,48.75 г,35 кКал
Семена тыквы очищенные,10.71 г,30.23 г,49.05 г,43 кКал
Миндаль свежий,21.55 г,21.15 г,49.93 г,86 кКал
Миндаль жареный,21.01 г,20.96 г,52.54 г,84 кКал
Семечки подсолнуха очищенные,20.00 г,20.78 г,51.46 г,80 кКал
Семечки подсолнуха жареные (очищенные),24.07 г,19.33 г,49.80 г,96 кКал
Мука подсолнечная,35.83 г,48.06 г,1.61 г,143 кКал
Орех серый,12.05 г,24.90 г,56.98 г,48 кКал
Кешью жареный,32.69 г,15.31 г,46.35 г,131 кКал
Кешью сырой,30.19 г,18.22 г,43.85 г,121 кКал
Каштан очищенный. свежий,44.17 г,1.63 г,1.25 г,177 кКал
Буковый орешек,33.50 г,6.20 г,50.00 г,134 кКал
Бразильский орех,11.74 г,14.32 г,67.10 г,47 кКал
Кокосовое молоко свежее,5.54 г,2.29 г,23.84 г,22 кКал
Кокосовое молоко консервированное,2.81 г,2.02 г,21.33 г,11 кКал
Кокосовая вода свежая,3.71 г,0.72 г,0.20 г,15 кКал
Фундук жареный,17.60 г,15.03 г,62.40 г,70 кКал
Фундук свежий,16.70 г,14.95 г,60.75 г,67 кКал
Орех макадамия,13.82 г,7.91 г,75.77 г,55 кКал
Орех макадамия жареный,13.38 г,7.79 г,76.08 г,54 кКал
Мякоть кокоса свежая,15.23 г,3.33 г,33.49 г,61 кКал
Кокосовая стружка неподслащённая,23.65 г,6.88 г,64.53 г,95 кКал
Фисташки свежие,27.17 г,20.16 г,45.32 г,109 кКал
Фисташки жареные (без соли),28.28 г,21.05 г,45.82 г,113 кКал
Чёрный орех,9.58 г,24.06 г,59.33 г,38 кКал
Грецкий орех,13.71 г,15.23 г,65.21 г,55 кКал
Пекан,13.86 г,9.17 г,71.97 г,55 кКал
Орех пили,3.98 г,10.80 г,79.55 г,16 кКал
Кедровый орех без скорлупы,13.08 г,13.69 г,68.37 г,52 кКал
Фисташки жареные солёные,27.55 г,21.05 г,45.82 г,110 кКал
Говяжий мозг сырой,1.05 г,10.86 г,10.30 г,4 кКал
Говяжий мозг жареный,0.00 г,12.57 г,15.83 г,196 кКал
Говяжье сердце сырое,0.14 г,17.72 г,3.94 г,1 кКал
Говяжье сердце отварное,0.15 г,28.48 г,4.73 г,1 кКал
Говяжьи почки сырые,0.29 г,17.40 г,3.09 г,1 кКал
Говяжьи почки варёные,0.00 г,27.27 г,4.65 г,158 кКал
Говяжья печень сырая,3.89 г,20.36 г,3.63 г,16 кКал
Говяжья печень тушёная или жареная,5.13 г,29.08 г,5.26 г,21 кКал
Говяжье лёгкое сырое,0.00 г,16.20 г,2.50 г,92 кКал
Говяжье лёгкое отварное или тушёное,0.00 г,20.40 г,3.70 г,120 кКал
Говяжья тушёнка консервированная,0.00 г,20.52 г,17.57 г,246 кКал
Свинина жареная приготовленная,0.00 г,29.36 г,7.86 г,196 кКал
Свиные ножки отварные,0.00 г,21.94 г,16.05 г,238 кКал
Свиной хвост в сыром виде,0.00 г,17.75 г,33.50 г,378 кКал
Свиной хвост приготовленный,0.00 г,17.00 г,35.80 г,396 кКал
Вырезка свиная сырая,0.00 г,20.65 г,3.53 г,120 кКал
Фарш свиной сырой. 20% жира,0.00 г,16.88 г,21.19 г,263 кКал
Фарш свиной приготовленный (20% жира),0.00 г,25.69 г,20.77 г,297 кКал
Мясо свиное без жира (филе) сырое,0.00 г,21.23 г,5.88 г,144 кКал
Филе свиное приготовленное,0.00 г,29.47 г,9.44 г,211 кКал
Рёбрышки свиные (кантри) в сыром виде,0.00 г,19.34 г,11.82 г,189 кКал
Корейка свиная запечённая,0.00 г,27.23 г,13.62 г,239 кКал
Корейка свиная в сыром виде,0.00 г,19.74 г,12.58 г,198 кКал
Сало свиное (без прослойки) сырое,0.00 г,2.92 г,88.69 г,812 кКал
Сало свиное (с прослойкой) сырое,0.00 г,9.34 г,53.01 г,518 кКал
Свиной окорок и кострец в сыром виде,0.00 г,20.27 г,10.63 г,182 кКал
Свиная рулька. голяшка в сыром виде,0.00 г,19.87 г,11.96 г,193 кКал
Свинина в сыром виде. мясо с жиром,0.00 г,21.55 г,6.94 г,155 кКал
Свинина тушёная приготовленная,0.00 г,29.20 г,8.31 г,200 кКал
Свинина. запечённая в духовке приготовленная,0.00 г,26.62 г,9.14 г,196 кКал
Рёбрышки (рёбра) свиные в сыром виде,0.00 г,15.47 г,23.40 г,277 кКал
Свиной мозг в сыром виде,0.00 г,10.28 г,9.21 г,127 кКал
Свиной мозг приготовленный,0.00 г,12.14 г,9.51 г,138 кКал
Свиные кишки в сыром виде,0.00 г,7.64 г,16.61 г,182 кКал
Свиные кишки приготовленные,0.00 г,12.49 г,20.32 г,233 кКал
Шейка свиная (шея) в сыром виде,0.00 г,17.42 г,12.36 г,186 кКал
Свиная селезёнка в сыром виде,0.00 г,17.86 г,2.59 г,100 кКал
Свиная селезёнка приготовленная,0.00 г,28.20 г,3.20 г,149 кКал
Свиной желудок в сыром виде,0.00 г,16.85 г,10.14 г,159 кКал
Свиной язык в сыром виде,0.00 г,16.30 г,17.20 г,225 кКал
Свиной язык отварной,0.00 г,24.10 г,18.60 г,271 кКал
Свиные уши варёные,0.20 г,15.95 г,10.80 г,1 кКал
Свиные ножки в сыром виде,0.00 г,23.16 г,12.59 г,212 кКал
Свиное сердце в сыром виде,1.33 г,17.27 г,4.36 г,5 кКал
Свиные уши в сыром виде,0.60 г,22.45 г,15.10 г,2 кКал
Свиное сердце варёное или тушёное,0.40 г,23.60 г,5.05 г,2 кКал
Свиная щековина в сыром виде,0.00 г,6.38 г,69.61 г,655 кКал
Свиные почки в сыром виде,0.00 г,16.46 г,3.25 г,100 кКал
Свиные почки тушёные,0.00 г,25.40 г,4.70 г,151 кКал
Нутряной свиной жир в сыром виде,0.00 г,1.76 г,94.16 г,857 кКал
Свиная печень жареная или тушёная,3.76 г,26.02 г,4.40 г,15 кКал
Свиное лёгкое в сыром виде,0.00 г,14.08 г,2.72 г,85 кКал
Свиное лёгкое варёное,0.00 г,16.60 г,3.10 г,99 кКал
Свиная печень в сыром виде,2.47 г,21.39 г,3.65 г,10 кКал
Свиная поджелудочная железа в сыром виде,0.00 г,18.56 г,13.24 г,199 кКал
Свиная поджелудочная железа приготовленная,0.00 г,28.50 г,10.80 г,219 кКал
Карбонат свиной в сыром виде,0.00 г,21.14 г,12.96 г,201 кКал
Свиной желудок отварной,0.09 г,21.40 г,7.26 г,0 кКал
Сало свиное топлёное (смалец),0.00 г,0.07 г,99.50 г,898 кКал
Грудинка свиная в сыром виде,0.00 г,22.54 г,3.40 г,127 кКал
Лопатка свиная в сыром виде,0.00 г,21.65 г,3.91 г,128 кКал
Вода,0.00 г,0.00 г,0.00 г,0 кКал
Вино десертное сухое,11.67 г,0.20 г,0.00 г,47 кКал
Окунь речной запечённый,0.00 г,24.18 г,4.73 г,146 кКал
Масляная рыба (эсколар) копчёная,0.00 г,22.15 г,10.28 г,187 кКал
Менёк запечённый,0.00 г,24.35 г,0.88 г,112 кКал
Налим запечённый,0.00 г,24.76 г,1.04 г,115 кКал
Махи-махи (корифена) запечённая,0.00 г,23.72 г,0.90 г,109 кКал
Мольва запечённая,0.00 г,24.35 г,0.82 г,111 кКал
Терпуг запечённый,0.00 г,22.64 г,1.36 г,109 кКал
Устрицы сырые,2.72 г,5.71 г,1.71 г,11 кКал
Морской гребешок сырой,3.18 г,12.06 г,0.49 г,13 кКал
Кальмар сырой,3.08 г,15.58 г,1.38 г,12 кКал
Кальмар приготовленный (жареный),7.79 г,17.94 г,7.48 г,31 кКал
Форель запечённая,0.00 г,26.63 г,8.47 г,190 кКал
Зубатка запечённая,0.00 г,22.44 г,3.06 г,123 кКал
Желтохвост (лакедра) запечённый,0.00 г,29.67 г,6.72 г,187 кКал
Каракатица приготовленная,1.64 г,32.48 г,1.40 г,7 кКал
Сом жареный,0.00 г,18.47 г,2.85 г,105 кКал
Осьминог варёный,4.40 г,29.82 г,2.08 г,18 кКал
Молочная рыба (ханос) запечённая,0.00 г,26.32 г,8.63 г,190 кКал
Морской чёрт приготовленный,0.00 г,18.56 г,1.95 г,97 кКал
Судак запечённый,0.00 г,24.54 г,1.56 г,119 кКал
Минтай запечённый,0.00 г,24.92 г,1.26 г,118 кКал
Икра красная или чёрная приготовленная (термически обработанная),1.92 г,28.62 г,8.23 г,8 кКал
Сёмга запечённая,0.00 г,25.44 г,8.13 г,182 кКал
Кета запечённая,0.00 г,25.82 г,4.83 г,154 кКал
Горбуша запечённая,0.00 г,24.58 г,5.28 г,153 кКал
Чавыча запечённая,0.00 г,25.72 г,13.38 г,231 кКал
Тилапия сырая,0.00 г,20.08 г,1.70 г,96 кКал
Тилапия запечённая,0.00 г,26.15 г,2.65 г,128 кКал
Устрицы запечённые,4.23 г,8.87 г,2.65 г,17 кКал
Кижуч запечённый,0.00 г,23.45 г,4.30 г,139 кКал
Треска сырая,0.00 г,17.54 г,0.20 г,72 кКал
Треска запечённая,0.00 г,20.42 г,0.25 г,84 кКал
Креветки варёные,0.20 г,23.98 г,0.28 г,1 кКал
Креветки сырые,0.00 г,20.10 г,0.51 г,85 кКал
Горбыль жареный,7.54 г,18.20 г,12.67 г,30 кКал
Менёк сырой,0.00 г,18.99 г,0.69 г,87 кКал
Махи-махи (корифена) сырая,0.00 г,18.50 г,0.70 г,85 кКал
Горбыль сырой,0.00 г,17.78 г,3.17 г,104 кКал
Угорь сырой,0.00 г,18.44 г,11.66 г,184 кКал
Угорь запечённый или копчёный,0.00 г,23.65 г,14.95 г,236 кКал
Камбала сырая,0.00 г,12.41 г,1.93 г,70 кКал
Камбала жареная,0.00 г,15.24 г,2.37 г,86 кКал
Групер сырой,0.00 г,19.38 г,1.02 г,92 кКал
Групер запечённый,0.00 г,24.84 г,1.30 г,118 кКал
Анчоусы сырые,0.00 г,20.35 г,4.84 г,131 кКал
Анчоусы консервированные (в масле),0.00 г,28.89 г,9.71 г,210 кКал
Окунь речной сырой,0.00 г,18.86 г,3.69 г,114 кКал
Налим сырой,0.00 г,19.31 г,0.81 г,90 кКал
Масляная рыба (эсколар) сырая,0.00 г,17.28 г,8.02 г,146 кКал
Карп сырой,0.00 г,17.83 г,5.60 г,127 кКал
Карп запечённый,0.00 г,22.86 г,7.17 г,162 кКал
Омуль сырой,0.00 г,18.99 г,1.91 г,98 кКал
Сом сырой,0.00 г,16.38 г,2.82 г,95 кКал
Омуль запечённый,0.00 г,16.36 г,11.90 г,177 кКал
Молочная рыба (ханос) сырая,0.00 г,20.53 г,6.73 г,148 кКал
Морской чёрт сырой,0.00 г,14.48 г,1.52 г,76 кКал
Кефаль сырая,0.00 г,19.35 г,3.79 г,117 кКал
Кефаль запечённая,0.00 г,24.81 г,4.86 г,150 кКал
Окунь морской (красный) сырой,0.00 г,15.31 г,1.54 г,79 кКал
Окунь морской (красный) запечённый,0.00 г,18.51 г,1.87 г,96 кКал
Щука сырая,0.00 г,19.26 г,0.69 г,88 кКал
Щука приготовленная,0.00 г,24.69 г,0.88 г,113 кКал
Судак сырой,0.00 г,19.14 г,1.22 г,93 кКал
Минтай сырой,0.00 г,19.44 г,0.98 г,92 кКал
Палтус сырой,0.00 г,18.56 г,1.33 г,91 кКал
Палтус запечённый,0.00 г,22.54 г,1.61 г,111 кКал
Сельдь сырая,0.00 г,17.96 г,9.04 г,158 кКал
Сельдь солёная,9.64 г,14.19 г,18.00 г,39 кКал
Сельдь копчёная,0.00 г,24.58 г,12.37 г,217 кКал
Сельдь запечённая,0.00 г,23.03 г,11.59 г,203 кКал
Мольва сырая,0.00 г,18.99 г,0.64 г,87 кКал
Терпуг сырой,0.00 г,17.66 г,1.06 г,85 кКал
Скумбрия сырая,0.00 г,18.60 г,13.89 г,205 кКал
Скумбрия запечённая,0.00 г,23.85 г,17.81 г,262 кКал
Ставрида консервированная,0.00 г,23.19 г,6.30 г,156 кКал
Нерка сырая,0.00 г,22.25 г,4.69 г,131 кКал
Нерка запечённая,0.00 г,26.48 г,5.57 г,156 кКал
Сардина консервированная в масле,0.00 г,24.62 г,11.45 г,208 кКал
Сибас сырой,0.00 г,18.43 г,2.00 г,97 кКал
Сибас запечённый,0.00 г,23.63 г,2.56 г,124 кКал
Мясо акулы сырое,0.00 г,20.98 г,4.51 г,130 кКал
Мясо акулы жареное,6.39 г,18.62 г,13.82 г,26 кКал
Корюшка сырая,0.00 г,17.63 г,2.42 г,97 кКал
Икра красная или чёрная сырая,1.50 г,22.32 г,6.42 г,6 кКал
Сёмга сырая,0.00 г,19.84 г,6.34 г,142 кКал
Чавыча сырая,0.00 г,19.93 г,10.43 г,179 кКал
Кета сырая,0.00 г,20.14 г,3.77 г,120 кКал
Кижуч сырой,0.00 г,21.62 г,5.93 г,146 кКал
Горбуша сырая,0.00 г,20.50 г,4.40 г,127 кКал
Тунец консервированный в собственном соку,0.00 г,19.44 г,0.96 г,86 кКал
Мерланг сырой,0.00 г,18.31 г,1.31 г,90 кКал
Мерланг запечённый,0.00 г,23.48 г,1.69 г,116 кКал
Луциан (берикс) сырой,0.00 г,20.51 г,1.34 г,100 кКал
Луциан (берикс) запечённый,0.00 г,26.30 г,1.72 г,128 кКал
Корюшка жареная,0.00 г,22.60 г,3.10 г,124 кКал
Осётр сырой,0.00 г,16.14 г,4.04 г,105 кКал
Осётр запечённый,0.00 г,20.70 г,5.18 г,135 кКал
Сурими сырой,6.85 г,15.18 г,0.90 г,27 кКал
Рыба-меч запечённая,0.00 г,23.45 г,7.93 г,172 кКал
Рыба-меч сырая,0.00 г,19.66 г,6.65 г,144 кКал
Форель сырая,0.00 г,20.77 г,6.61 г,148 кКал
Крабовые палочки (сурими) готовые к употреблению,9.13 г,12.39 г,1.47 г,37 кКал
Морские ушки сырые,6.01 г,17.10 г,0.76 г,24 кКал
Морские ушки приготовленные,11.05 г,19.63 г,6.78 г,44 кКал
Моллюски сырые,3.57 г,14.67 г,0.96 г,14 кКал
Моллюски варёные,5.13 г,25.55 г,1.95 г,21 кКал
Каракатица сырая,0.82 г,16.24 г,0.70 г,3 кКал
Мидии сырые,3.69 г,11.90 г,2.24 г,15 кКал
Мидии отварные,7.39 г,23.80 г,4.48 г,30 кКал
Осьминог сырой,2.20 г,14.91 г,1.04 г,9 кКал
Зубатка сырая,0.00 г,17.50 г,2.39 г,96 кКал
Желтохвост (лакедра) сырой,0.00 г,23.14 г,5.24 г,146 кКал
Камчатский краб сырой,0.00 г,18.29 г,0.60 г,84 кКал
Камчатский краб варёный,0.00 г,19.35 г,1.54 г,97 кКал
Краб (мясо краба) сырой,0.04 г,18.06 г,1.08 г,0 кКал
Краб варёный,0.00 г,17.88 г,0.74 г,83 кКал
Раки сырые,0.00 г,15.97 г,0.95 г,77 кКал
Раки варёные,0.00 г,16.77 г,1.20 г,82 кКал
Лобстеры (омары. лангусты) сырые,0.00 г,16.52 г,0.75 г,77 кКал
Лобстеры (омары. лангусты) варёные,0.00 г,19.00 г,0.86 г,89 кКал
Соевое молоко,3.45 г,2.94 г,1.99 г,14 кКал
Французская зеленая фасоль свежая,64.11 г,18.81 г,2.02 г,256 кКал
Французская зеленая фасоль варёная,24.02 г,7.05 г,0.76 г,96 кКал
Фасоль красная (Кидни) сухая,60.01 г,23.58 г,0.83 г,240 кКал
Фасоль красная (Кидни) варёная,22.80 г,8.67 г,0.50 г,91 кКал
Фасоль красная (Кидни) консервированная,14.50 г,5.22 г,0.60 г,58 кКал
Фасоль Адзуки сухая,62.90 г,19.87 г,0.53 г,252 кКал
Фасоль Адзуки варёная,24.77 г,7.52 г,0.10 г,99 кКал
Фасоль чёрная сухая,62.36 г,21.60 г,1.42 г,249 кКал
Фасоль чёрная варёная,23.71 г,8.86 г,0.54 г,95 кКал
Бобы в сыром виде. зрелые,58.29 г,26.12 г,1.53 г,233 кКал
Бобы варёные (зрелые),19.65 г,7.60 г,0.40 г,79 кКал
Бобы консервированные (зрелые),12.41 г,5.47 г,0.22 г,50 кКал
Нут сухой,62.95 г,20.47 г,6.04 г,252 кКал
Нут варёный,27.42 г,8.86 г,2.59 г,110 кКал
Фасоль черноглазая сухая,60.03 г,23.52 г,1.26 г,240 кКал
Фасоль черноглазая варёная,20.76 г,7.73 г,0.53 г,83 кКал
Фасоль белая сухая,60.75 г,22.33 г,1.50 г,243 кКал
Фасоль белая варёная,26.05 г,8.23 г,0.62 г,104 кКал
Фасоль белая консервированная,20.45 г,7.53 г,0.43 г,82 кКал
Фасоль розовая варёная,27.91 г,9.06 г,0.49 г,112 кКал
Фасоль пёстрая (Пинто) сухая,62.55 г,21.42 г,1.23 г,250 кКал
Фасоль пёстрая (Пинто) варёная,26.22 г,9.01 г,0.65 г,105 кКал
Фасоль розовая сухая,64.19 г,20.96 г,1.13 г,257 кКал
Горох сухой. зрелый,63.74 г,23.82 г,1.16 г,255 кКал
Горох варёный на воде (зрелый),21.10 г,8.34 г,0.39 г,84 кКал
Арахис сырой,16.13 г,25.80 г,49.24 г,65 кКал
Арахисовая паста,22.31 г,22.21 г,51.36 г,89 кКал
Чечевица сухая,63.35 г,24.63 г,1.06 г,253 кКал
Фасоль Лима сухая,63.38 г,21.46 г,0.69 г,254 кКал
Фасоль Лима варёная,20.88 г,7.80 г,0.38 г,84 кКал
Чечевица варёная на воде,20.13 г,9.02 г,0.38 г,81 кКал
Люпин (бобы люпина) сухие,40.37 г,36.17 г,9.74 г,161 кКал
Люпин (бобы люпина) приготовленные,9.88 г,15.57 г,2.92 г,40 кКал
Маш варёный,19.15 г,7.02 г,0.38 г,77 кКал
Маш сухой,62.62 г,23.86 г,1.15 г,250 кКал
Соевый жмых,35.89 г,49.20 г,2.39 г,144 кКал
Соевый протеин (изолят) порошок,0.00 г,88.32 г,3.39 г,335 кКал
Соевый соус shoyu. из сои и пшеницы,4.93 г,8.14 г,0.57 г,20 кКал
Соевый соус (тамари. tamari),5.57 г,10.51 г,0.10 г,22 кКал
Соевый соус (гидролизованный),7.84 г,7.00 г,0.51 г,31 кКал
Сыр тофу твердый (полотняный),2.85 г,9.04 г,4.17 г,11 кКал
Сыр тофу ферментированный (fuyu),4.38 г,8.92 г,8.00 г,18 кКал
Голубиный горох сухой,62.78 г,21.70 г,1.49 г,251 кКал
Голубиный горох варёный,23.25 г,6.76 г,0.38 г,93 кКал
Мука арахисовая,31.27 г,33.80 г,21.90 г,125 кКал
Соевые бобы зрелые. в сухом виде,30.16 г,36.49 г,19.94 г,121 кКал
Соевые бобы варёные (зрелые),8.36 г,18.21 г,8.97 г,33 кКал
Темпе,7.64 г,20.29 г,10.80 г,31 кКал
Мука соевая,31.92 г,37.81 г,20.65 г,128 кКал
Мука нутовая,57.82 г,22.39 г,6.69 г,231 кКал
Соевый сыр тофу сухой,1.18 г,9.98 г,5.26 г,5 кКал
Чечевица (красная или розовая) сухая,63.10 г,23.91 г,2.17 г,252 кКал
Арахис жареный,21.26 г,24.35 г,49.66 г,85 кКал
Соевый протеин (концентрат) порошок,25.41 г,63.63 г,0.46 г,102 кКал
Говядина приготовленная (мясо без жира),0.00 г,29.90 г,8.37 г,203 кКал
Говяжий язык сырой,3.68 г,14.90 г,16.09 г,15 кКал
Говяжий рубец сырой,0.00 г,12.07 г,3.69 г,85 кКал
Говяжий язык отварной,0.00 г,19.29 г,22.30 г,284 кКал
Чай чёрный с сахаром и лимоном (приготовленный),10.80 г,0.00 г,0.22 г,43 кКал
Кофе с молоком и сахаром,12.60 г,1.98 г,1.38 г,50 кКал
Кофе зерновой сваренный,0.23 г,0.30 г,0.00 г,1 кКал
Цикорий растворимый (кофе в готовом виде),0.75 г,0.09 г,0.00 г,3 кКал
Чай зелёный с сахаром (приготовленный),6.20 г,0.00 г,0.22 г,25 кКал
Кофе эспрессо в готовом виде,1.67 г,0.12 г,0.18 г,7 кКал
Кофе растворимый приготовленный,0.34 г,0.10 г,0.00 г,1 кКал
Вино розовое,3.80 г,0.36 г,0.00 г,15 кКал
Чай зелёный без сахара. приготовленный,0.00 г,0.00 г,0.00 г,0 кКал
Чай чёрный без сахара. приготовленный,0.00 г,0.00 г,0.00 г,0 кКал
